,Year,papercount,Male: 1. Author,female 1,Female: 1. Author,Male 2,female 2,Female: Co. Author,Male 3,female 3,Female: Last. Author,Male: 1. Author,Male: Co. Author,Male: Last. Author
0,1950-1960,179,126,30,19.23,10,0,0,142,33,18.86,80.77,100,81.14
1,1960-1970,562,402,83,17.11,68,15,22.06,452,98,17.82,82.89,77.94,82.18
2,1970-1980,1271,887,192,17.79,151,35,23.18,990,262,20.93,82.21,76.82,79.07
3,1980-1990,2456,1721,399,18.82,351,73,20.8,1950,465,19.25,81.18,79.2,80.75
4,1990-2000,7335,4916,1083,18.05,1877,402,21.42,5793,1436,19.86,81.95,78.58,80.14
5,2000-2010,29982,19944,4431,18.18,13723,2954,21.53,23512,6000,20.33,81.82,78.47,79.67
6,2010-2020,132165,78774,17712,18.36,101598,20898,20.57,103830,26228,20.17,81.64,79.43,79.83
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Year,Female: 1. Author (%),Male: 1. Author (%),Female: Co. Author (%),Male: Co. Author (%),Female: Last. Author (%),Male: Last. Author (%),,,,,,
,,1950-1960,19.23,80.77,0,100,18.86,81.14,,,,,,
,,1960-1970,17.11,82.89,22.06,77.94,17.82,82.18,,,,,,
,,1970-1980,17.79,82.21,23.18,76.82,20.93,79.07,,,,,,
,,1980-1990,18.82,81.18,20.8,79.2,19.25,80.75,,,,,,
,,1990-2000,18.05,81.95,21.42,78.58,19.86,80.14,,,,,,
,,2000-2010,18.18,81.82,21.53,78.47,20.33,79.67,,,,,,
,,2010-2020,18.36,81.64,20.57,79.43,20.17,79.83,,,,,,
