,maleauthorscount,femaleauthorscount,femaletomaleratio,femalepercentage
0,125257,8928,0.07127745355548991,0.06653500763870776
1,112857,10138,0.08983049345632083,0.08242611488271881
2,92301,8959,0.09706287039143671,0.08847521232470867
3,66895,6450,0.0964197623140743,0.0879405549117186
4,43178,4474,0.10361758302839409,0.09388902879207589
5,27137,2813,0.10365921067177654,0.09392320534223707
6,15589,1686,0.10815318493809738,0.09759768451519536
7,9431,997,0.10571519457109532,0.09560797851937092
8,5400,606,0.11222222222222222,0.1008991008991009
9,3110,343,0.11028938906752411,0.09933391253982045
10,1675,169,0.1008955223880597,0.09164859002169197
11,970,97,0.1,0.09090909090909091
12,533,71,0.13320825515947468,0.11754966887417219
13,336,35,0.10416666666666667,0.09433962264150944
14,237,15,0.06329113924050633,0.05952380952380952
15,146,20,0.136986301369863,0.12048192771084337
16,101,12,0.1188118811881188,0.10619469026548672
17,79,4,0.05063291139240506,0.04819277108433735
18,63,5,0.07936507936507936,0.07352941176470588
19,40,8,0.2,0.16666666666666666
20,32,6,0.1875,0.15789473684210525
21,31,6,0.1935483870967742,0.16216216216216217
22,28,4,0.14285714285714285,0.125
23,25,3,0.12,0.10714285714285714
24,25,2,0.08,0.07407407407407407
25,22,1,0.045454545454545456,0.043478260869565216
26,11,9,0.8181818181818182,0.45
27,11,8,0.7272727272727273,0.42105263157894735
28,14,1,0.07142857142857142,0.06666666666666667
29,12,1,0.08333333333333333,0.07692307692307693
30,12,1,0.08333333333333333,0.07692307692307693
31,9,3,0.3333333333333333,0.25
32,8,2,0.25,0.2
33,9,0,0.0,0.0
34,7,2,0.2857142857142857,0.2222222222222222
35,7,2,0.2857142857142857,0.2222222222222222
36,9,0,0.0,0.0
37,8,1,0.125,0.1111111111111111
38,9,0,0.0,0.0
39,8,1,0.125,0.1111111111111111
40,9,0,0.0,0.0
41,8,1,0.125,0.1111111111111111
42,8,1,0.125,0.1111111111111111
43,6,3,0.5,0.3333333333333333
44,9,0,0.0,0.0
45,5,2,0.4,0.2857142857142857
46,6,0,0.0,0.0
47,4,2,0.5,0.3333333333333333
48,4,2,0.5,0.3333333333333333
49,6,0,0.0,0.0
50,5,1,0.2,0.16666666666666666
51,5,1,0.2,0.16666666666666666
52,4,2,0.5,0.3333333333333333
53,4,1,0.25,0.2
54,4,1,0.25,0.2
55,4,1,0.25,0.2
56,5,0,0.0,0.0
57,5,0,0.0,0.0
58,5,0,0.0,0.0
59,4,0,0.0,0.0
60,3,1,0.3333333333333333,0.25
61,4,0,0.0,0.0
62,4,0,0.0,0.0
63,3,1,0.3333333333333333,0.25
64,4,0,0.0,0.0
65,3,1,0.3333333333333333,0.25
66,3,1,0.3333333333333333,0.25
67,4,0,0.0,0.0
68,4,0,0.0,0.0
69,4,0,0.0,0.0
70,4,0,0.0,0.0
71,3,1,0.3333333333333333,0.25
72,4,0,0.0,0.0
73,3,0,0.0,0.0
74,3,0,0.0,0.0
75,2,1,0.5,0.3333333333333333
76,2,1,0.5,0.3333333333333333
77,1,2,2.0,0.6666666666666666
78,3,0,0.0,0.0
79,3,0,0.0,0.0
80,2,1,0.5,0.3333333333333333
81,2,1,0.5,0.3333333333333333
82,3,0,0.0,0.0
83,3,0,0.0,0.0
84,3,0,0.0,0.0
85,3,0,0.0,0.0
86,2,1,0.5,0.3333333333333333
87,3,0,0.0,0.0
88,3,0,0.0,0.0
89,3,0,0.0,0.0
90,2,1,0.5,0.3333333333333333
91,3,0,0.0,0.0
92,3,0,0.0,0.0
93,2,1,0.5,0.3333333333333333
94,2,1,0.5,0.3333333333333333
95,3,0,0.0,0.0
96,3,0,0.0,0.0
97,3,0,0.0,0.0
98,2,1,0.5,0.3333333333333333
99,3,0,0.0,0.0
100,2,1,0.5,0.3333333333333333
101,2,1,0.5,0.3333333333333333
102,2,1,0.5,0.3333333333333333
103,2,0,0.0,0.0
104,2,0,0.0,0.0
105,2,0,0.0,0.0
106,2,0,0.0,0.0
107,2,0,0.0,0.0
108,2,0,0.0,0.0
109,2,0,0.0,0.0
110,2,0,0.0,0.0
111,2,0,0.0,0.0
112,2,0,0.0,0.0
113,2,0,0.0,0.0
114,2,0,0.0,0.0
115,2,0,0.0,0.0
116,2,0,0.0,0.0
117,2,0,0.0,0.0
118,1,1,1.0,0.5
119,2,0,0.0,0.0
120,2,0,0.0,0.0
121,2,0,0.0,0.0
122,2,0,0.0,0.0
123,2,0,0.0,0.0
124,2,0,0.0,0.0
125,2,0,0.0,0.0
126,2,0,0.0,0.0
127,2,0,0.0,0.0
128,1,1,1.0,0.5
129,1,1,1.0,0.5
130,1,1,1.0,0.5
131,2,0,0.0,0.0
132,2,0,0.0,0.0
133,1,1,1.0,0.5
134,2,0,0.0,0.0
135,1,1,1.0,0.5
136,2,0,0.0,0.0
137,1,1,1.0,0.5
138,2,0,0.0,0.0
139,2,0,0.0,0.0
140,2,0,0.0,0.0
141,1,1,1.0,0.5
142,2,0,0.0,0.0
143,1,1,1.0,0.5
144,2,0,0.0,0.0
145,1,1,1.0,0.5
146,2,0,0.0,0.0
147,2,0,0.0,0.0
148,2,0,0.0,0.0
149,2,0,0.0,0.0
150,2,0,0.0,0.0
151,2,0,0.0,0.0
152,2,0,0.0,0.0
153,2,0,0.0,0.0
154,1,1,1.0,0.5
155,0,1,inf,1.0
156,1,0,0.0,0.0
157,1,0,0.0,0.0
158,1,0,0.0,0.0
159,1,0,0.0,0.0
160,1,0,0.0,0.0
161,1,0,0.0,0.0
162,0,1,inf,1.0
163,1,0,0.0,0.0
164,1,0,0.0,0.0
165,1,0,0.0,0.0
166,1,0,0.0,0.0
167,1,0,0.0,0.0
168,0,1,inf,1.0
169,0,1,inf,1.0
170,1,0,0.0,0.0
171,1,0,0.0,0.0
172,1,0,0.0,0.0
173,1,0,0.0,0.0
174,1,0,0.0,0.0
175,1,0,0.0,0.0
176,1,0,0.0,0.0
177,0,1,inf,1.0
178,1,0,0.0,0.0
179,1,0,0.0,0.0
180,1,0,0.0,0.0
181,0,0,,
182,0,0,,
183,0,0,,
184,0,0,,
185,78847,5693,0.07220312757619186,0.06734090371421812
186,0,0,,
187,0,0,,
188,0,0,,
189,0,0,,
190,0,0,,
191,0,0,,
