,Subject,# of papers,1950Male (1),1950female1 (1),1950Proportion1 (1),1950Male (2),1950female (2),1950Proportion (2),1950Male (3),1950female (3),1950Proportion (3)
0,AGRI,31259,19819,4413,18.21,13598,2413,15.07,7480,1195,13.78
1,CHEM,14139,8664,1974,18.56,5420,1244,18.67,3095,591,16.03
2,IMMU,2378,1162,426,26.83,857,257,23.07,572,133,18.87
3,MEDI,39815,25694,7776,23.23,12549,3912,23.77,6647,2092,23.94
4,DENT,388,192,51,20.99,140,29,17.16,76,24,24.0
5,MATH,6682,3990,521,11.55,2098,273,11.51,939,107,10.23
6,ENGI,14961,9404,1242,11.67,5073,685,11.9,2318,279,10.74
7,BIOC,13760,6853,2201,24.31,4802,1544,24.33,2870,929,24.45
8,ARTS,1844,1063,367,25.66,451,142,23.95,192,46,19.33
9,COMP,25264,15874,3123,16.44,8509,1120,11.63,3563,431,10.79
10,VETE,898,627,123,16.4,545,57,9.47,316,53,14.36
11,PHYS,7293,4904,471,8.76,2355,238,9.18,1055,98,8.5
12,ENER,4290,2420,285,10.54,1592,223,12.29,741,95,11.36
13,PHAR,4791,2899,1170,28.75,2275,662,22.54,1355,482,26.24
14,MATE,3787,2224,403,15.34,1469,276,15.82,853,136,13.75
15,CENG,6975,3538,906,20.39,2411,621,20.48,1424,280,16.43
16,EART,4211,2377,265,10.03,1399,151,9.74,710,91,11.36
17,ENVI,4745,2329,625,21.16,1816,406,18.27,1128,236,17.3
18,BUSI,4829,2805,574,16.99,1567,332,17.48,772,130,14.41
19,SOCI,3664,2457,657,21.1,884,201,18.53,294,84,22.22
20,MULT,3916,2483,542,17.92,1318,282,17.62,567,141,19.92
21,ECON,1679,905,215,19.2,534,84,13.59,207,38,15.51
22,DECI,653,428,53,11.02,224,35,13.51,97,12,11.01
23,NURS,1426,845,469,35.69,209,127,37.8,83,50,37.59
24,HEAL,602,317,102,24.34,249,45,15.31,138,37,21.14
25,PSYC,617,241,215,47.15,118,89,43.0,59,29,32.95
26,undefined,112,86,13,13.13,42,6,12.5,17,1,5.56
27,NEUR,290,96,55,36.42,76,34,30.91,46,15,24.59
