,generl_conf,generl_conf_count
13,None,8916
20,J. Coll. Phys. Surg. Pak.,4478
103,J. Pak. Med. Assoc.,4334
8,Pak. J. Bot.,3667
16,Pak. J. Med. Health Sci.,3531
1050,J. Chem.,3407
4,Med. Forum Monthly,2891
34,J. Med. Sci.,2483
22,Pak. J. Zool.,2247
109,J. Chem. Soc. Pak.,2050
112,Pak. J. Med. Sci.,1741
108,J. Anim. Plant Sci.,1409
165,Rawal Med. J.,1199
1047,['21945365'],1159
1009,Energy,1125
651,['03607011'],1112
395,['16113349'],1104
877,['01256726'],1102
765,['16627482'],1096
39,Pak. J. Pharma. Sci.,1081
